transfer_type,size_bytes,size_mb,latency_ms,bandwidth_gb_per_s,model,category,num_local_experts,num_tokens,batch_size
pcie_h2d,67108864,64.0,2.5854224071944305,25.150459988690354,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_d2h,67108864,64.0,2.5661649458368054,23.733618856585732,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
hbm_read,134217728,128.0,0.0827564396425977,1722.926834735125,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_h2d,134217728,128.0,4.9789768311220355,24.740235914974974,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_d2h,134217728,128.0,5.239720295882612,24.115116498696164,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
hbm_read,268435456,256.0,0.14754463552472402,1635.1168995503178,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_h2d,268435456,256.0,10.314207636352696,23.83968634900035,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_d2h,268435456,256.0,10.701728476964467,24.927379902093346,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
hbm_read,536870912,512.0,0.30136809699827394,1714.1061849028376,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_h2d,536870912,512.0,19.430354923145828,25.533458492366467,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
pcie_d2h,536870912,512.0,20.693333739767983,23.71951521628582,deepseek-ai/DeepSeek-V3,bandwidth_sweep,,,
expert_weight_hbm,88080384,84.0,0.049357599050096436,1665.3854897314638,deepseek-ai/DeepSeek-V3,expert_weight,1.0,,
expert_weight_pcie,88080384,84.0,3.33809949131492,25.151296817119647,deepseek-ai/DeepSeek-V3,expert_weight,1.0,,
expert_weight_hbm,176160768,168.0,0.09647431734203762,1650.9295352744205,deepseek-ai/DeepSeek-V3,expert_weight,2.0,,
expert_weight_pcie,176160768,168.0,6.592841346239068,25.036163451391864,deepseek-ai/DeepSeek-V3,expert_weight,2.0,,
expert_weight_hbm,352321536,336.0,0.21242371136781885,1554.6675574928215,deepseek-ai/DeepSeek-V3,expert_weight,4.0,,
expert_weight_pcie,352321536,336.0,12.154706884015532,24.647488815828563,deepseek-ai/DeepSeek-V3,expert_weight,4.0,,
expert_weight_hbm,704643072,672.0,0.41088553397187677,1579.5311868225376,deepseek-ai/DeepSeek-V3,expert_weight,8.0,,
expert_weight_pcie,704643072,672.0,25.275283136568166,25.91897213015069,deepseek-ai/DeepSeek-V3,expert_weight,8.0,,
expert_weight_hbm,1409286144,1344.0,0.8157876559956849,1649.6518526735754,deepseek-ai/DeepSeek-V3,expert_weight,16.0,,
expert_weight_pcie,1409286144,1344.0,53.30431601999821,24.878554127325703,deepseek-ai/DeepSeek-V3,expert_weight,16.0,,
kv_cache_pcie,147456,0.140625,0.005387608543277491,25.812193130056443,deepseek-ai/DeepSeek-V3,kv_cache,,128.0,1.0
kv_cache_hbm,147456,0.140625,0.001,1526.3438615966406,deepseek-ai/DeepSeek-V3,kv_cache,,128.0,1.0
kv_cache_pcie,589824,0.5625,0.021514924726021126,25.903740206533666,deepseek-ai/DeepSeek-V3,kv_cache,,128.0,4.0
kv_cache_hbm,589824,0.5625,0.001,1673.152417045764,deepseek-ai/DeepSeek-V3,kv_cache,,128.0,4.0
kv_cache_pcie,2359296,2.25,0.08191887300217154,25.438515587092564,deepseek-ai/DeepSeek-V3,kv_cache,,128.0,16.0
kv_cache_hbm,2359296,2.25,0.0013734471830454573,1565.0973773271237,deepseek-ai/DeepSeek-V3,kv_cache,,128.0,16.0
kv_cache_pcie,9437184,9.0,0.3577921762403726,25.115691714241624,deepseek-ai/DeepSeek-V3,kv_cache,,128.0,64.0
kv_cache_hbm,9437184,9.0,0.005884555913970555,1524.6547757324695,deepseek-ai/DeepSeek-V3,kv_cache,,128.0,64.0
kv_cache_pcie,294912,0.28125,0.011346799916188293,24.902016479026294,deepseek-ai/DeepSeek-V3,kv_cache,,256.0,1.0
kv_cache_hbm,294912,0.28125,0.001,1605.4129230945036,deepseek-ai/DeepSeek-V3,kv_cache,,256.0,1.0
kv_cache_pcie,1179648,1.125,0.043959454225382076,25.984324802191175,deepseek-ai/DeepSeek-V3,kv_cache,,256.0,4.0
kv_cache_hbm,1179648,1.125,0.001,1700.7817601888357,deepseek-ai/DeepSeek-V3,kv_cache,,256.0,4.0
kv_cache_pcie,4718592,4.5,0.16933568278788802,26.054404507353187,deepseek-ai/DeepSeek-V3,kv_cache,,256.0,16.0
kv_cache_hbm,4718592,4.5,0.002725672308209709,1599.1663465678191,deepseek-ai/DeepSeek-V3,kv_cache,,256.0,16.0
kv_cache_pcie,18874368,18.0,0.6931101298797959,24.66335894945979,deepseek-ai/DeepSeek-V3,kv_cache,,256.0,64.0
kv_cache_hbm,18874368,18.0,0.010788183800081567,1595.493461872055,deepseek-ai/DeepSeek-V3,kv_cache,,256.0,64.0
kv_cache_pcie,589824,0.5625,0.021126015315540352,25.56221406060378,deepseek-ai/DeepSeek-V3,kv_cache,,512.0,1.0
kv_cache_hbm,589824,0.5625,0.001,1622.019753203517,deepseek-ai/DeepSeek-V3,kv_cache,,512.0,1.0
kv_cache_pcie,2359296,2.25,0.09077057225848208,25.0031144766097,deepseek-ai/DeepSeek-V3,kv_cache,,512.0,4.0
kv_cache_hbm,2359296,2.25,0.0013347887089235648,1663.5216888400691,deepseek-ai/DeepSeek-V3,kv_cache,,512.0,4.0
kv_cache_pcie,9437184,9.0,0.34738673006825466,25.264107083143767,deepseek-ai/DeepSeek-V3,kv_cache,,512.0,16.0
kv_cache_hbm,9437184,9.0,0.0049806852394738465,1632.0175925795374,deepseek-ai/DeepSeek-V3,kv_cache,,512.0,16.0
kv_cache_pcie,37748736,36.0,1.3186162414562808,24.27696136832486,deepseek-ai/DeepSeek-V3,kv_cache,,512.0,64.0
kv_cache_hbm,37748736,36.0,0.020689003193910187,1580.1801507986686,deepseek-ai/DeepSeek-V3,kv_cache,,512.0,64.0
kv_cache_pcie,1179648,1.125,0.04287869629826278,24.832211582647616,deepseek-ai/DeepSeek-V3,kv_cache,,1024.0,1.0
kv_cache_hbm,1179648,1.125,0.001,1642.0827700724956,deepseek-ai/DeepSeek-V3,kv_cache,,1024.0,1.0
kv_cache_pcie,4718592,4.5,0.16444052858807554,25.26297074598539,deepseek-ai/DeepSeek-V3,kv_cache,,1024.0,4.0
kv_cache_hbm,4718592,4.5,0.0027197699416365985,1615.1212689606452,deepseek-ai/DeepSeek-V3,kv_cache,,1024.0,4.0
kv_cache_pcie,18874368,18.0,0.696270522246651,25.34387445480018,deepseek-ai/DeepSeek-V3,kv_cache,,1024.0,16.0
kv_cache_hbm,18874368,18.0,0.01102337654430213,1554.1316729335238,deepseek-ai/DeepSeek-V3,kv_cache,,1024.0,16.0
kv_cache_pcie,75497472,72.0,2.7697279264531542,26.340302090131647,deepseek-ai/DeepSeek-V3,kv_cache,,1024.0,64.0
kv_cache_hbm,75497472,72.0,0.04493671526924411,1672.8414494976357,deepseek-ai/DeepSeek-V3,kv_cache,,1024.0,64.0
kv_cache_pcie,2359296,2.25,0.0885973022913182,26.450903869791983,deepseek-ai/DeepSeek-V3,kv_cache,,2048.0,1.0
kv_cache_hbm,2359296,2.25,0.001424525667997277,1624.883341704939,deepseek-ai/DeepSeek-V3,kv_cache,,2048.0,1.0
kv_cache_pcie,9437184,9.0,0.33862898531715624,24.995659007875883,deepseek-ai/DeepSeek-V3,kv_cache,,2048.0,4.0
kv_cache_hbm,9437184,9.0,0.005888654985544608,1554.4019780124001,deepseek-ai/DeepSeek-V3,kv_cache,,2048.0,4.0
kv_cache_pcie,37748736,36.0,1.3753959623522842,24.132005488715574,deepseek-ai/DeepSeek-V3,kv_cache,,2048.0,16.0
kv_cache_hbm,37748736,36.0,0.02163305351068446,1572.3451118100008,deepseek-ai/DeepSeek-V3,kv_cache,,2048.0,16.0
kv_cache_pcie,150994944,144.0,5.562151056445264,23.725728059025823,deepseek-ai/DeepSeek-V3,kv_cache,,2048.0,64.0
kv_cache_hbm,150994944,144.0,0.08780688277392462,1691.016687470517,deepseek-ai/DeepSeek-V3,kv_cache,,2048.0,64.0
kv_cache_pcie,4718592,4.5,0.1723775270888142,25.097841714650773,deepseek-ai/DeepSeek-V3,kv_cache,,4096.0,1.0
kv_cache_hbm,4718592,4.5,0.0026808412852760287,1640.0530448028119,deepseek-ai/DeepSeek-V3,kv_cache,,4096.0,1.0
kv_cache_pcie,18874368,18.0,0.6967458931298877,25.780696416037607,deepseek-ai/DeepSeek-V3,kv_cache,,4096.0,4.0
kv_cache_hbm,18874368,18.0,0.011174816380904102,1591.3626106561226,deepseek-ai/DeepSeek-V3,kv_cache,,4096.0,4.0
kv_cache_pcie,75497472,72.0,2.764286119466437,25.88162430338711,deepseek-ai/DeepSeek-V3,kv_cache,,4096.0,16.0
kv_cache_hbm,75497472,72.0,0.04126634799641397,1534.7607833516051,deepseek-ai/DeepSeek-V3,kv_cache,,4096.0,16.0
kv_cache_pcie,301989888,288.0,11.236489716372258,25.575237886769298,deepseek-ai/DeepSeek-V3,kv_cache,,4096.0,64.0
kv_cache_hbm,301989888,288.0,0.16868292800646245,1602.8831320155614,deepseek-ai/DeepSeek-V3,kv_cache,,4096.0,64.0
